SourceID,SourceTitle,TargetID,LinkTitle
1,,4,LOVE HELP
3,One way to make this system better would be to add command line history. Another way would be to allow it to read files from the disk.,4,Love Advice
12,11-DSC,3,Suggested Title
15,1LINKS,3,Suggested Title
15,1LINKS,4,Suggested Title
16,Should_a_woman_be_Pursued,4,Suggested Title
17,Morality_of_Sex,4,How_to_best_love_a_woman
